t_sec,cart_position_raw,cart_velocity_raw,pendulum_angle_raw,pendulum_velocity_raw,cart_position_norm,cart_velocity_norm,pendulum_angle_norm,pendulum_velocity_norm,cart_force,u_total,u_total_raw,is_saturated_global,delta_u_total,error_pendulum_angle,error_cart_position,delta_error_pendulum_angle,delta_error_cart_position,derivative_error_pendulum_angle,derivative_error_cart_position,integral_error_pendulum_angle,integral_error_cart_position,control_action_pendulum_angle,control_action_cart_position,delta_control_action_pendulum_angle,delta_control_action_cart_position,u_eff_pendulum_angle,u_eff_cart_position,delta_u_eff_pendulum_angle,delta_u_eff_cart_position,kp_pendulum_angle,kp_cart_position,ki_pendulum_angle,ki_cart_position,kd_pendulum_angle,kd_cart_position,global_reward_per_step,assigned_reward_per_step_pendulum_angle,assigned_reward_per_step_cart_position,episode_id
0.0,0.0,0.0,0.15700000000000003,0.0,0.0,0.0,0.14992360580595876,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.001,5.959551202964286e-07,0.0011919102508954466,0.1570001783005921,0.00035660089096437833,1.1919102393953551e-07,0.00014898878136193616,0.14992377607008422,8.915022274114115e-05,7.503676470588236,0.1875919117647059,0.1875919117647059,False,0.1875919117647059,0.14992360580595876,0.0,0.14992360580595876,0.0,0.0,0.0,0.00014992360580595875,0.0,0.1875919117647059,0.0,0.1875919117647059,0.0,0.1875919117647059,0.0,0.1875919117647059,0.0,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.002,2.3847182810254033e-06,0.002385617013562646,0.15700071232037827,0.0007114319506023116,4.769436561247176e-07,0.00029820212669529056,0.14992428602022367,0.00017785798765057592,7.512707400133037,0.18781768500332593,0.18781768500332593,False,0.00022577323862002507,0.14992377607008422,-1.1919102393953551e-07,1.7026412546528036e-07,-1.1919102393953551e-07,0.00017026412546528036,-0.00011919102393953551,0.00029984738187604294,-1.191910239395355e-10,0.1879072274090493,-8.954240572335597e-05,0.00031531564434339465,-8.954240572335597e-05,0.1879072274090493,-8.954240572335597e-05,0.00031531564434339465,-8.954240572335597e-05,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.003,5.368235969892736e-06,0.0035814196662502704,0.15700160014137454,0.0010641999465759362,1.0736471938166403e-06,0.000447677458281337,0.14992513382484196,0.0002660499866440347,7.523244932634371,0.18808112331585927,0.18808112331585927,False,0.00026343831253333727,0.14992428602022367,-4.769436561247176e-07,5.099501394489891e-07,-3.5775263218518205e-07,0.0005099501394489891,-0.00035775263218518205,0.00044977166789626663,-5.961346800642531e-10,0.18835003471473666,-0.00026891139887739253,0.0004428073056873538,-0.00017936899315403656,0.18835003471473666,-0.00026891139887739253,0.0004428073056873538,-0.00017936899315403656,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.004,9.548597655460746e-06,0.004779305267038982,0.15700283970856432,0.001414921119705856,1.9097195311790216e-06,0.0005974131583799114,0.14992631752154728,0.0003537302799263564,7.533720797897219,0.1883430199474305,0.1883430199474305,False,0.00026189663157122345,0.14992513382484196,-1.0736471938166403e-06,8.478046182869292e-07,-5.967035376919227e-07,0.0008478046182869292,-0.0005967035376919227,0.0005996968017211086,-1.6697818738808935e-09,0.18879189174691904,-0.0004488717994885552,0.0004418570321823856,-0.00017996040061116268,0.18879189174691904,-0.0004488717994885552,0.0004418570321823856,-0.00017996040061116268,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.005,1.492787936256918e-05,0.005979259897970939,0.15700442898374245,0.001763612680496229,2.9855758725272352e-06,0.0007474074872464431,0.14992783516400165,0.0004409031701240185,7.544130098126603,0.1886032524531651,0.1886032524531651,False,0.0002602325057345922,0.14992631752154728,-1.9097195311790216e-06,1.1836967053202585e-06,-8.360723373623813e-07,0.0011836967053202585,-0.0008360723373623813,0.0007496231192426559,-3.579501405059915e-09,0.1892326983299776,-0.0006294458768125161,0.0004408065830585617,-0.0001805740773239609,0.1892326983299776,-0.0006294458768125161,0.0004408065830585617,-0.0001805740773239609,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.006,2.1508143244876936e-05,0.00718126973402609,0.1570063659458576,0.0021102917283168884,4.301628649061584e-06,0.0008976587167532912,0.14992968482224756,0.0005275729320792788,7.554473282263696,0.1888618320565924,0.1888618320565924,False,0.0002585796034273169,0.14992783516400165,-2.9855758725272352e-06,1.517642454373913e-06,-1.0758563413482136e-06,0.001517642454373913,-0.0010758563413482136,0.0008995509544066576,-6.56507727758715e-09,0.18967246448879083,-0.0008106324321984162,0.0004397661588132207,-0.0001811865553859001,0.18967246448879083,-0.0008106324321984162,0.0004397661588132207,-0.0001811865553859001,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.007,2.9291437680016295e-05,0.008385321045850725,0.15700864859089503,0.002454975248137858,5.858287535964735e-06,0.001048165130731249,0.14993186458259644,0.0006137438120343841,7.5647508123870555,0.1891187703096764,0.1891187703096764,False,0.00025693825308398255,0.14992968482224756,-4.301628649061584e-06,1.849658245900443e-06,-1.3160527765343488e-06,0.001849658245900443,-0.0013160527765343488,0.0010494806392289053,-1.0866705926648735e-08,0.1901112005112709,-0.0009924302015944968,0.0004387360224800685,-0.00018179776939608063,0.1901112005112709,-0.0009924302015944968,0.0004387360224800685,-0.00018179776939608063,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.008,3.8279797363426294e-05,0.009591400198941828,0.15701127493177092,0.002797680112461479,7.655959472607776e-06,0.0011989250248676253,0.14993437254752773,0.000699420028115405,7.574963147553412,0.1893740786888353,0.1893740786888353,False,0.00025530837915890836,0.14993186458259644,-5.858287535964735e-06,2.1797603488860062e-06,-1.5566588869031506e-06,0.0021797603488860062,-0.0015566588869031506,0.0011994125038115016,-1.672499346261347e-08,0.19054891661967444,-0.001174837930839147,0.0004377161084035408,-0.00018240772924465022,0.19054891661967444,-0.001174837930839147,0.0004377161084035408,-0.00018240772924465022,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.009000000000000001,4.84752434028492e-05,0.010799493653101162,0.15701424299822087,0.0031384230818132597,9.695048680535834e-06,0.0013499367066376333,0.14993720683558154,0.0007846057704532505,7.585110744012363,0.18962776860030908,0.18962776860030908,False,0.0002536899114737867,0.14993437254752773,-7.655959472607776e-06,2.507964931286466e-06,-1.7976719366430416e-06,0.002507964931286466,-0.0017976719366430416,0.0013493468763590294,-2.4380952935221246e-08,0.1909856229783233,-0.00135785437801421,0.00043670635864886953,-0.00018301644717506286,0.1909856229783233,-0.00135785437801421,0.00043670635864886953,-0.00018301644717506286,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.010000000000000002,5.9879783413247584e-05,0.012009587961930052,0.15701755083668267,0.003477220804853077,1.1975956682785949e-05,0.0015011984952413293,0.14994036558124768,0.0008693052012131997,7.595194055081162,0.18987985137702906,0.18987985137702906,False,0.0002520827767199807,0.14993720683558154,-9.695048680535834e-06,2.834288053810141e-06,-2.0390892079280576e-06,0.002834288053810141,-0.0020390892079280576,0.001499284083194611,-3.4076001615757083e-08,0.1914213296888278,-0.0015414783117987327,0.0004357067105044965,-0.00018362393378452274,0.1914213296888278,-0.0015414783117987327,0.0004357067105044965,-0.00018362393378452274,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.011000000000000003,7.249541160968251e-05,0.01322166977213129,0.15702119651018887,0.003814089819510598,1.4499082321872692e-05,0.0016527087215163494,0.1499438469348633,0.0009535224548775645,7.605213530985911,0.1901303382746478,0.1901303382746478,False,0.00025048689761872356,0.14994036558124768,-1.1975956682785949e-05,3.158745666143048e-06,-2.280908002250115e-06,0.003158745666143048,-0.002280908002250115,0.0016492244487758586,-4.605195829854303e-08,0.19185604678713672,-0.0017257085124889418,0.0004347170983089177,-0.0001842302006902091,0.19185604678713672,-0.0017257085124889418,0.0004347170983089177,-0.0001842302006902091,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.012000000000000004,8.632410890073574e-05,0.014435725822978139,0.15702517809825167,0.004149046553394593,1.7264821780216266e-05,0.0018044657278721843,0.14994764906250158,0.0010372616383487188,7.615169619156232,0.1903792404789058,0.1903792404789058,False,0.00024890220425802245,0.1499438469348633,-1.4499082321872692e-05,3.48135361560864e-06,-2.523125639086743e-06,0.00348135361560864,-0.002523125639086743,0.0017991682957107218,-6.055104062041572e-08,0.192289784249924,-0.0019105437710181736,0.0004337374627872703,-0.00018483525852923182,0.192289784249924,-0.0019105437710181736,0.0004337374627872703,-0.00018483525852923182,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.013000000000000005,0.00010136784298004927,0.01565174294560821,0.15702949369675911,0.004482107324924947,2.0273568595907676e-05,0.0019564678682009173,0.1499517701458739,0.0011205268312313166,7.625062763879883,0.19062656909699707,0.19062656909699707,False,0.0002473286180912637,0.14994764906250158,-1.7264821780216266e-05,3.8021276382860236e-06,-2.7657394583435746e-06,0.0038021276382860236,-0.0027657394583435746,0.0019491159447732234,-7.781586240063199e-08,0.19272255198780802,-0.002095982890810952,0.0004327677378840322,-0.00018543911979277848,0.19272255198780802,-0.002095982890810952,0.0004327677378840322,-0.00018543911979277848,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.014000000000000005,0.00011762856841822493,0.01686970806250488,0.1570341414178622,0.004813288343859868,2.3525713683580918e-05,0.0021087135078130537,0.14995620838222146,0.001203322085965075,7.634893406837541,0.19087233517093855,0.19087233517093855,False,0.00024576607394147243,0.1499517701458739,-2.0273568595907676e-05,4.1210833723326346e-06,-3.00874681569141e-06,0.0041210833723326346,-0.00300874681569141,0.0020990677149190975,-9.808943099653966e-08,0.19315435985524074,-0.0022820246843021875,0.00043180786743271526,-0.00018604179349123546,0.19315435985524074,-0.0022820246843021875,0.00043180786743271526,-0.00018604179349123546,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.015000000000000006,0.00013510822675407872,0.018089608186871824,0.1570391193898666,0.005142605711995402,2.702164535084428e-05,0.0022612010233589164,0.14996096198421172,0.0012856514279988573,7.644661986630973,0.19111654966577432,0.19111654966577432,False,0.00024421449483577606,0.14995620838222146,-2.3525713683580918e-05,4.438236347548141e-06,-3.2521450876732416e-06,0.004438236347548141,-0.0032521450876732416,0.002249023923301319,-1.2161514468012057e-07,0.1935852176425646,-0.0024686679767902575,0.0004308577873238517,-0.00018664329248807001,0.1935852176425646,-0.0024686679767902575,0.0004308577873238517,-0.00018664329248807001,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.016000000000000007,0.00015380874658483366,0.01931143042203278,0.15704442575712596,0.005470075423991829,3.0761749316932097e-05,0.0024139288027540395,0.1499660291798377,0.0013675188559980622,7.654368939057701,0.19135922347644252,0.19135922347644252,False,0.00024267381066819804,0.14996096198421172,-2.702164535084428e-05,4.753601990259426e-06,-3.4959316672633634e-06,0.004753601990259426,-0.0034959316672633634,0.0023989848852855305,-1.4863679003096484e-07,0.19401513507956614,-0.0026559116031236165,0.00042991743700154794,-0.000187243626333359,0.19401513507956614,-0.0026559116031236165,0.00042991743700154794,-0.000187243626333359,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.017000000000000008,0.00017373204365576703,0.02053516196084032,0.15705005867993638,0.00579571336815322,3.474640873113444e-05,0.0025668952451050053,0.14997140821231514,0.001448928342038247,7.664014697119257,0.19160036742798145,0.19160036742798145,False,0.0002411439515389302,0.1499660291798377,-3.0761749316932097e-05,5.067195625985121e-06,-3.7401039660878155e-06,0.005067195625985121,-0.0037401039660878155,0.0025489509144653684,-1.7939853934789694e-07,0.19444412183736767,-0.0028437544093862115,0.00042898675780153606,-0.000187842806262595,0.19444412183736767,-0.0028437544093862115,0.00042898675780153606,-0.000187842806262595,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.01800000000000001,0.00019488002094958975,0.021760790085091367,0.15705601633442967,0.006119535327104414,3.897600418989455e-05,0.0027200987606363913,0.14997709733998255,0.001529883831776102,7.6735996909627255,0.19183999227406814,0.19183999227406814,False,0.00023962484608669454,0.14997140821231514,-3.474640873113444e-05,5.379032477437207e-06,-3.984659414202341e-06,0.005379032477437207,-0.003984659414202341,0.0026989223226776835,-2.141449480790314e-07,0.19487218752681892,-0.0030321952527507723,0.00042806568945125134,-0.0001884408433645607,0.19487218752681892,-0.0030321952527507723,0.00042806568945125134,-0.0001884408433645607,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.01900000000000001,0.0002172545687752423,0.02298830216496406,0.15706229691246687,0.006441556978461701,4.345091375501653e-05,0.0028735377706206044,0.14998309483619843,0.0016103892446153178,7.683124348002327,0.19207810870005818,0.19207810870005818,False,0.00023811642599003147,0.14997709733998255,-3.897600418989455e-05,5.68912766740759e-06,-4.229595458760116e-06,0.00568912766740759,-0.004229595458760116,0.002848899420017666,-2.5312095226892596e-07,0.19529934170055596,-0.0032212330004977915,0.0004271541737370377,-0.00018903774774701922,0.19529934170055596,-0.0032212330004977915,0.0004271541737370377,-0.00018903774774701922,1.25,1.25,1.25,1.25,0.75,0.75,-0.005982343613247948,-0.005982292933428442,-5.067981950600543e-08,2752
0.02000000000000001,0.00024085756485597441,0.02421768565842198,0.15706889862153384,0.006761793895575713,4.817151297120681e-05,0.00302721070730283,0.14998939898924157,0.0016904484738939907,7.692589092794349,0.19231472731985874,0.19231472731985874,False,0.00023661861980056598,0.14998309483619843,-4.345091375501653e-05,5.997496215881526e-06,-4.474909565121976e-06,0.005997496215881526,-0.004474909565121976,0.0029988825148538644,-2.965718660239425e-07,0.19572559385072652,-0.0034108665308677827,0.0004262521501705585,-0.00018963353036999123,0.19572559385072652,-0.0034108665308677827,0.0004262521501705585,-0.00018963353036999123,1.25,1.25,1.25,1.25,0.75,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.02100000000000001,0.00026583698506867516,0.025741165727421363,0.15707567542279977,0.0067916199181330475,5.31673970136648e-05,0.0032176457159276417,0.14999587034262785,0.0016979049795333712,9.170332078310997,0.22925830195777494,0.22925830195777494,False,0.0369435746379162,0.14998939898924157,-4.817151297120681e-05,6.304153043146243e-06,-4.72059921619028e-06,0.006304153043146243,-0.00472059921619028,0.003148871913843106,-3.4474337899514934e-07,0.23285948287620015,-0.003601180918425211,0.037133889025473626,-0.00019031438755742845,0.23285948287620015,-0.003601180918425211,0.037133889025473626,-0.00019031438755742845,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.022000000000000013,0.0002923402994888652,0.027265472553572097,0.15708248167685834,0.006820696780252127,5.846805989784265e-05,0.003408184069196407,0.15000236982129334,0.0017051741950631083,9.174552589563282,0.22936381473908207,0.22936381473908207,False,0.00010551278130713215,0.14999587034262785,-5.31673970136648e-05,6.4713533862725825e-06,-4.9958840424579876e-06,0.0064713533862725825,-0.0049958840424579876,0.0032988677841857337,-3.979107760088141e-07,0.23317778388335667,-0.003813969144274585,0.00031830100715651843,-0.0002127882258493737,0.23317778388335667,-0.003813969144274585,0.00031830100715651843,-0.0002127882258493737,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.023000000000000013,0.00032036796885144894,0.028789873702599115,0.15708931699547524,0.006849748195170973,6.407359377025301e-05,0.003598734212824972,0.15000889705450282,0.0017124370487926477,9.175093299577425,0.22937733248943562,0.22937733248943562,False,1.3517750353547742e-05,0.15000236982129334,-5.846805989784265e-05,6.499478665489278e-06,-5.300662884177854e-06,0.006499478665489278,-0.005300662884177854,0.003448870154007027,-4.563788359066568e-07,0.23342659929569518,-0.004049266806259553,0.00024881541233851,-0.00023529766198496834,0.23342659929569518,-0.004049266806259553,0.00024881541233851,-0.00023529766198496834,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.024000000000000014,0.0003499200851378684,0.030314364400491338,0.15709618135570347,0.00687877916679905,6.998401702751345e-05,0.0037892955500613557,0.1500154520203434,0.0017196947916997551,9.175610307516969,0.22939025768792426,0.22939025768792426,False,1.2925198488639156e-05,0.15000889705450282,-6.407359377025301e-05,6.527233209485672e-06,-5.605533872410362e-06,0.006527233209485672,-0.005605533872410362,0.0035988790510615297,-5.204524296769098e-07,0.23367528076308935,-0.004285023075165103,0.0002486814673941795,-0.0002357562689055499,0.23367528076308935,-0.004285023075165103,0.0002486814673941795,-0.0002357562689055499,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.025000000000000015,0.00038099673646739465,0.03183894169836808,0.15710307473870389,0.0069077928961643175,7.619934729352629e-05,0.00397986771229597,0.15002203470082498,0.0017269482240411804,9.176112783460848,0.2294028195865212,0.2294028195865212,False,1.2561898596941123e-05,0.1500154520203434,-6.998401702751345e-05,6.55496584056614e-06,-5.910423257260433e-06,0.00655496584056614,-0.005910423257260433,0.003748894503081873,-5.904364467044233e-07,0.23392400270542096,-0.0045211831188997735,0.00024872194233160894,-0.00023616004373467041,0.23392400270542096,-0.0045211831188997735,0.00024872194233160894,-0.00023616004373467041,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.026000000000000016,0.0004135980080221497,0.033363602663930104,0.15710999712880813,0.006936792567663909,8.27196016044418e-05,0.004170450332991349,0.15002864508098557,0.001734198141915888,9.176600810455614,0.22941502026139035,0.22941502026139035,False,1.2200674869150552e-05,0.15002203470082498,-7.619934729352629e-05,6.5826804815927176e-06,-6.215330266012842e-06,0.006582680481592718,-0.006215330266012842,0.0038989165377826982,-6.666357939979496e-07,0.23417276709870788,-0.004757746837317536,0.00024876439328691546,-0.0002365637184177623,0.23417276709870788,-0.004757746837317536,0.00024876439328691546,-0.0002365637184177623,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.027000000000000017,0.0004477239820523919,0.03488834437679146,0.15711694851355995,0.006965781353897044,8.954479641043456e-05,0.004361043047098834,0.15003528314893044,0.0017414453384743123,9.177074448311284,0.2294268612077821,0.2294268612077821,False,1.1840946391755702e-05,0.15002864508098557,-8.27196016044418e-05,6.610380160587681e-06,-6.520254310915519e-06,0.006610380160587681,-0.006520254310915519,0.004048945182863684,-7.493553956023914e-07,0.2344215754760677,-0.004994714268285595,0.0002488083773598271,-0.00023696743096805924,0.2344215754760677,-0.004994714268285595,0.0002488083773598271,-0.00023696743096805924,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.028000000000000018,0.0004833747379014789,0.036413163928714944,0.1571239288836246,0.006994762415189923,9.667494758014428e-05,0.00455164549108944,0.1500419488957454,0.0017486906037975647,9.177533757782262,0.22943834394455656,0.22943834394455656,False,1.1482736774454105e-05,0.15003528314893044,-8.954479641043456e-05,6.638067944875203e-06,-6.825194805992751e-06,0.006638067944875203,-0.006825194805992751,0.0041989804660126145,-8.38900192012826e-07,0.2346704293948522,-0.005232085450295626,0.00024885391878448626,-0.0002373711820100313,0.2346704293948522,-0.005232085450295626,0.00024885391878448626,-0.0002373711820100313,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.02900000000000002,0.0005205503520061836,0.037938058423226735,0.15713093823284696,0.007023738900253966,0.00010411007040134201,0.004742257302903452,0.15004864231555293,0.0017559347250635238,9.177978797959751,0.2294494699489938,0.2294494699489938,False,1.1126004437228554e-05,0.1500419488957454,-9.667494758014428e-05,6.665746814960016e-06,-7.13015116970972e-06,0.006665746814960016,-0.00713015116970972,0.0043490224149083595,-9.355751395929702e-07,0.23491933037346066,-0.005469860424466859,0.0002489009786084684,-0.0002377749741712329,0.23491933037346066,-0.005469860424466859,0.0002489009786084684,-0.0002377749741712329,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.03000000000000002,0.0005592508979096741,0.03946302497587633,0.15713797655823392,0.007052713945936214,0.00011185017958181831,0.0049328781219846185,0.15005536340549464,0.0017631784864839961,9.178409629248494,0.22946024073121235,0.22946024073121235,False,1.0770782218560981e-05,0.15004864231555293,-0.00010411007040134201,6.693419807524137e-06,-7.435122821197737e-06,0.006693419807524137,-0.007435122821197737,0.0044990710572239126,-1.0396852099943123e-06,0.23516827996292733,-0.005708039231714972,0.00024894958946666823,-0.00023817880724811245,0.23516827996292733,-0.005708039231714972,0.00024894958946666823,-0.00023817880724811245,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.03100000000000002,0.000599476446281817,0.04098806071423098,0.15714504385989203,0.007081690677082956,0.00011989528925626658,0.0051235075892788196,0.15006211216567222,0.0017704226692707437,9.178826311884848,0.22947065779712122,0.22947065779712122,False,1.0417065908874257e-05,0.15005536340549464,-0.00011185017958181831,6.721089941708058e-06,-7.740109180476296e-06,0.006721089941708058,-0.007740109180476296,0.004649126420629407,-1.1515353895761307e-06,0.2354172797100401,-0.005946621912918859,0.0002489997471127603,-0.0002385826812038869,0.2354172797100401,-0.005946621912918859,0.0002489997471127603,-0.0002385826812038869,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.03200000000000002,0.0006412270649217803,0.04251316277759628,0.1571521401410716,0.007110672207040091,0.0001282454129842847,0.005314145347199428,0.15006888859918988,0.0017776680517600507,9.179228904922814,0.22948072262307037,0.22948072262307037,False,1.0064825949146483e-05,0.15006211216567222,-0.00011989528925626658,6.748760177588409e-06,-8.04510967444827e-06,0.006748760177588409,-0.00804510967444827,0.004799188532795079,-1.2714306788323972e-06,0.23566633113649516,-0.006185608513424784,0.00024905142645506584,-0.00023898660050592543,0.23566633113649516,-0.006185608513424784,0.00024905142645506584,-0.00023898660050592543,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.03300000000000002,0.0006845028187767588,0.04403832831726038,0.1571592654081133,0.007139661637300093,0.00013690056375526005,0.005504791039657508,0.15007569271210208,0.0017849154093250164,9.179617468532827,0.2294904367133207,0.2294904367133207,False,9.714090250328988e-06,0.15006888859918988,-0.0001282454129842847,6.776433517652336e-06,-8.350123728018133e-06,0.006776433517652336,-0.008350123728018133,0.004949257421394269,-1.399676091816682e-06,0.2359154357897024,-0.00642499907638168,0.0002491046532072383,-0.0002393905629568963,0.2359154357897024,-0.00642499907638168,0.0002491046532072383,-0.0002393905629568963,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
0.03400000000000002,0.0007293037699512618,0.045563554496281286,0.1571664196704532,0.007168662057796668,0.00014586075399014575,0.005695444312035169,0.15008252451341986,0.0017921655144492732,9.179992061900279,0.229499801547507,0.229499801547507,False,9.364834186287307e-06,0.15007569271210208,-0.00013690056375526005,6.804112912206506e-06,-8.65515077097534e-06,0.006804112912206506,-0.00865515077097534,0.005099333114106371,-1.536576655571942e-06,0.23616459519541594,-0.006664793647908938,0.0002491594057135449,-0.00023979457152725758,0.23616459519541594,-0.006664793647908938,0.0002491594057135449,-0.00023979457152725758,1.5,1.25,1.5,1.5,0.5,0.75,-0.0059600036911778105,-0.005959538842129672,-4.6484904813919877e-07,2752
